ORGANIZATION_NAME,SECTOR,OCCUPIED_BEDS,UNOCCUPIED_BEDS
Fred Victor Centre,Mixed Adult,63,7
Fred Victor Centre,Mixed Adult,63,7
Fred Victor Centre,Mixed Adult,63,7
Youth Without Shelter,Youth,18,2
Youth Without Shelter,Youth,18,2
Youth Without Shelter,Youth,18,2
Youth Without Shelter,Youth,18,2
Youth Without Shelter,Youth,18,2
Fred Victor Centre,Mixed Adult,38,4
Fred Victor Centre,Mixed Adult,19,2
Youth Without Shelter,Youth,30,3
City of Toronto,Men,62,6
City of Toronto,Men,62,6
Fred Victor Centre,Mixed Adult,62,6
Dixon Hall,Mixed Adult,42,4
Dixon Hall,Mixed Adult,42,4
Christie Ossington Neighbourhood Centre,Mixed Adult,21,2
Fred Victor Centre,Mixed Adult,63,6
Fred Victor Centre,Mixed Adult,63,6
Fred Victor Centre,Mixed Adult,63,6
Fred Victor Centre,Mixed Adult,63,6
Fred Victor Centre,Mixed Adult,63,6
Fred Victor Centre,Mixed Adult,63,6
Fred Victor Centre,Mixed Adult,63,6
City of Toronto,Mixed Adult,32,3
City of Toronto,Mixed Adult,32,3
City of Toronto,Mixed Adult,32,3
City of Toronto,Mixed Adult,32,3
City of Toronto,Mixed Adult,32,3
City of Toronto,Mixed Adult,32,3
City of Toronto,Mixed Adult,32,3
Fred Victor Centre,Mixed Adult,64,6
City of Toronto,Mixed Adult,44,4
City of Toronto,Mixed Adult,44,4
City of Toronto,Mixed Adult,44,4
City of Toronto,Mixed Adult,44,4
City of Toronto,Mixed Adult,44,4
City of Toronto,Men,33,3
City of Toronto,Men,33,3
City of Toronto,Men,33,3
City of Toronto,Men,33,3
City of Toronto,Men,33,3
City of Toronto,Men,33,3
City of Toronto,Men,33,3
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
