PROPERTY TYPE,YEAR BUILT,CONFIRMED UNITS,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
PRIVATE,1955,12,79,43.715706646,-79.4800366
PRIVATE,1957,202,79,43.647785657,-79.5258528138
TCHC,1957,30,79,43.7187381977,-79.4460430714
PRIVATE,1957,12,79,43.731732755,-79.438166679
PRIVATE,1959,67,79,43.7010141421,-79.44216061
PRIVATE,1960,11,79,43.6015075472,-79.4980054523
PRIVATE,1960,29,79,43.690686289,-79.455914851
PRIVATE,1960,21,79,43.707964508,-79.50552763
PRIVATE,1960,10,79,43.731679003,-79.438369878
PRIVATE,1961,86,79,43.744527226,-79.2154577667
PRIVATE,1963,118,79,43.589265093,-79.531395181
TCHC,1964,300,79,43.65586332,-79.366647156
PRIVATE,1964,47,79,43.734306073,-79.433720291
PRIVATE,1964,110,79,43.7552486601,-79.2439639688
PRIVATE,1965,24,79,43.733771348,-79.433653399
PRIVATE,1965,92,79,43.747732393,-79.310648196
TCHC,1968,352,79,43.66925972,-79.457795659
PRIVATE,1968,60,79,43.7728864941,-79.4432661421
TCHC,1970,31,79,43.763475642,-79.2053061322
PRIVATE,1971,140,79,43.640023653,-79.563923317
PRIVATE,1971,156,79,43.750094613,-79.516913628
PRIVATE,1972,263,79,43.7240484372,-79.5118150261
TCHC,1980,15,79,43.646859159,-79.369670022
PRIVATE,1920,21,80,43.6726715141,-79.286127172
PRIVATE,1931,31,80,43.6882314978,-79.4129731553
PRIVATE,1940,45,80,43.6494614357,-79.495683937
PRIVATE,1940,25,80,43.685357359,-79.419609008
PRIVATE,1940,17,80,43.713606404,-79.397782703
PRIVATE,1950,18,80,43.705683574,-79.402178392
PRIVATE,1950,10,80,43.7200316288,-79.5141632262
PRIVATE,1950,12,80,43.7233585034,-79.508865507
PRIVATE,1953,26,80,43.639476269,-79.491647816
PRIVATE,1955,12,80,43.729460131,-79.483123472
PRIVATE,1956,13,80,43.704897465,-79.361903925
PRIVATE,1956,15,80,43.708477676,-79.3002028238
PRIVATE,1956,11,80,43.7300610328,-79.4379110526
PRIVATE,1957,39,80,43.6350512379,-79.4924601948
TCHC,1957,31,80,43.718613593,-79.442694709
PRIVATE,1957,10,80,43.7312468474,-79.4350947761
PRIVATE,1958,25,80,43.687311357,-79.423463821
PRIVATE,1958,55,80,43.6890952984,-79.4358713128
PRIVATE,1958,21,80,43.7207617209,-79.5064382692
PRIVATE,1958,42,80,43.7210302198,-79.5035704823
PRIVATE,1959,39,80,43.7022933387,-79.4396596089
PRIVATE,1960,35,80,43.664763936,-79.378128487
PRIVATE,1960,23,80,43.6919981634,-79.4636000249
PRIVATE,1960,69,80,43.7279658085,-79.3179887258
TCHC,1962,147,80,43.6805240722,-79.2921137026
PRIVATE,1962,58,80,43.7071746852,-79.2972112317
PRIVATE,1963,66,80,43.7393268153,-79.2437802418
PRIVATE,1965,193,80,43.7449791335,-79.2174778122
PRIVATE,1966,36,80,43.6770075216,-79.3095598488
PRIVATE,1967,105,80,43.671558224,-79.401099408
PRIVATE,1967,214,80,43.7089535721,-79.4805254034
PRIVATE,1968,48,80,43.669299729,-79.400091636
PRIVATE,1968,154,80,43.745263651,-79.583968046
PRIVATE,1970,12,80,43.6964928212,-79.4764300653
TCHC,1972,185,80,43.767386062,-79.193922136
