Website Name,Sessions,Views,Avg View Time (Sec),Bounce Rate %
Animals & Pets||www.toronto.ca/community-people/animals-pets/,154300,189635,26.808629784752412,0.0891445236552171
Parks Map||www.toronto.ca/data/parks/maps/index.html,154248,213872,105.45578601719387,0.1186854934910015
Customer Experience - 311 - Toronto At Your Service||www.toronto.ca/home/311-toronto-at-your-service/,151231,176503,62.4503985689179,0.20572501669631227
Canada-ontario Housing Benefit (cohb)||www.toronto.ca/community-people/employment-social-support/housing-support/rent-geared-to-income-subsidy/canada-ontario-housing-benefit/,149756,186790,181.33001725989047,0.5883236731750314
Red Light Cameras||www.toronto.ca/services-payments/streets-parking-transportation/traffic-management/pavement-markings/red-light-cameras/,148483,184395,84.11935834692768,0.4240687486109521
Ontario Works Training Programs In Toronto||www.toronto.ca/community-people/employment-social-support/employment-support/training-courses/ontario-works-training-programs-in-toronto/,147308,180759,381.18028973040606,0.672570396719798
News Releases & Other Resources||www.toronto.ca/news/,144761,175062,90.1488049548715,0.5959892512486098
Swimming & Water Play||www.toronto.ca/explore-enjoy/recreation/swimming/,143944,177931,138.9871361615674,0.3282734952481521
Road Restrictions||www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/,143810,167088,197.7684594968582,0.5119671789166261
Outdoor Rinks Listings||www.toronto.ca/data/parks/prd/facilities/outdoor-rinks/index.html,139798,173839,101.361171080524,0.3278230017596818
Covid-19: Vaccine Eligibility & Doses||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-vaccines/covid-19-vaccine-eligibility-doses/,139119,162867,197.48270900169842,0.6667672999374636
Ontario Works Payment Schedule||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/ontario-works-payment-schedule/,136489,153482,233.05327565376672,0.8196411432423125
Toronto Public Health Appointment Booking System||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/immunization/toronto-public-health-appointment-booking-system/,135359,179157,201.70178603644237,0.3801520401303201
Fair Pass Transit Discount Program||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/transit-discount/,135071,163961,116.68157019469677,0.5031501950825862
Homepage - City Of Toronto Open Data Portal||open.toronto.ca/,134518,155381,32.532610756954675,0.6123195408792875
Toronto Building Inspection Request||secure.toronto.ca/inspectionrequest/index.do,134111,188258,34.89776985237687,0.2400697929327199
Mybenefits||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/my-benefits/,124096,144587,281.3774389411925,0.7468653300670449
Get Involved||www.toronto.ca/community-people/get-involved/,120543,123169,39.6100690328429,0.8767576715362982
Winter Recreation Programs||www.toronto.ca/explore-enjoy/recreation/winter-recreation-programs/,117823,149475,68.61020908435472,0.24866112728414655
My Child Care Account||www.toronto.ca/community-people/employment-social-support/child-family-support/child-care-support/renewing-your-fee-subsidy/,117064,151018,382.03324007776564,0.3674571174742021
Services & Payments||www.toronto.ca/services-payments/,116850,133389,30.875094503104798,0.03281985451433462
Drop-off Depots||www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/,116094,140394,34.729707916333915,0.08493979017003463
Fitness||www.toronto.ca/explore-enjoy/recreation/fitness/,115677,141745,108.97116968698518,0.3172800124484556
Permits & Licences||www.toronto.ca/services-payments/permits-licences-bylaws/,115216,153689,79.6547277106838,0.1424281349812526
Covid-19: Vaccines||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-vaccines/,115154,126606,86.41821804725306,0.7016256491307293
Cavalcade Of Lights||www.toronto.ca/explore-enjoy/festivals-events/cavalcade-of-lights/,113371,126929,234.40989864420166,0.7760979439186388
Online Payment | City Of Toronto||secure.toronto.ca/webapps/account-centric/,113036,201636,192.44253943774046,0.3090254432216285
Ebilling Enrol||www.toronto.ca/services-payments/property-taxes-utilities/ebilling-enroll/,109704,188298,113.34495079295431,0.23854189455261432
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/3501/index.html,108284,131245,226.8482508773916,0.6226589339145211
Subsidized Housing Listings||www.toronto.ca/community-people/employment-social-support/housing-support/rent-geared-to-income-subsidy/subsidized-housing-listings/,105893,130677,262.39642057479375,0.3316460955870549
Covid-19: What To Do If You Have Symptoms||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-what-you-should-do/covid-19-what-to-do-if-you-have-covid-19-symptoms/,105654,119275,152.57431272818047,0.6460238135801768
Toronto By-laws And Municipal Code - Home||www.toronto.ca/legdocs/bylaws/lawhome.htm,105415,113527,41.85949456964788,0.6902433240051226
Overview Of Ontario Works||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/,105072,119613,184.73980862498362,0.5088986599664992
New Year’s Eve||www.toronto.ca/explore-enjoy/festivals-events/new-years-eve/,103212,118347,277.3882198478812,0.7753265124210363
Swim Lessons||www.toronto.ca/explore-enjoy/recreation/swimming/swim-lessons-and-leadership/,103167,120565,194.40254707509115,0.3285740595345411
One-time Booking Of Parks & Recreation Facilities||www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/simple-permit-booking/,101880,138518,135.43455839717728,0.26012956419316846
"Program Listings - Fun Guide Search - Parks, Forestry & Recreation | City Of Toronto||www.toronto.ca/data/parks/funguide/listings.html",101696,124870,38.143856618030966,0.10816551290119572
Members Of Council||www.toronto.ca/city-government/council/members-of-council/,101569,139856,73.60892336577894,0.23749372347862044
Rights & Responsibilities For Landlords & Tenants||www.toronto.ca/community-people/housing-shelter/rental-housing-tenant-information/rights-responsibilities-for-landlords-tenants/,101318,113764,250.31767530859565,0.727728537870862
"Streets, Parking & Transportation||www.toronto.ca/services-payments/streets-parking-transportation/",99039,116390,56.99202404972443,0.12209331677420006
Dispute Your Provincial Offence||www.toronto.ca/services-payments/tickets-fines-penalties/dispute/dispute-your-provincial-offence/,98886,124403,161.21103140596665,0.30274255202960987
Food Waste||www.toronto.ca/services-payments/recycling-organics-garbage/long-term-waste-strategy/waste-reduction/food-waste/,96945,104456,363.6964932342291,0.9076589818969519
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/189/index.html,96760,116786,192.1959200438116,0.5508577924762299
Cframe||www.toronto.ca/data/parks/prd/swimming/dropin/leisure/index.html,96377,114634,142.3471391556759,0.42391856978324705
