YEAR BUILT,PROPERTY TYPE,LATITUDE,LONGITUDE,COSMETIC,HIGH,MODERATE,OVERALL
1958,PRIVATE,43.735937772,-79.439651849,1.7,2.4,2.2,74
1958,PRIVATE,43.717376692,-79.479654033,1.5,2.2,2.3,74
1960,PRIVATE,43.709007221,-79.376131167,1.9,2.6,1.9,74
1960,PRIVATE,43.716980201,-79.400164813,2.1,2.5,2,74
1961,PRIVATE,43.668763043,-79.406936141,1.5,2.3,2,74
1961,PRIVATE,43.744527226,-79.2154577667,2.6,2.3,1.9,74
1964,PRIVATE,43.670488769,-79.371608932,2.3,2.3,1.9,74
1965,PRIVATE,43.70045036,-79.344507259,2.5,2.6,1.9,74
1965,PRIVATE,43.7449791335,-79.2174778122,2.4,2.2,2.2,74
1967,PRIVATE,43.7649205,-79.204613933,2,2.4,2,74
1970,PRIVATE,43.6667874217,-79.4051232115,2.3,2.4,1.9,74
1970,TCHC,43.7631593909,-79.2047559,2.1,2.4,2.1,74
1970,PRIVATE,43.668304546,-79.312459034,2.1,2.3,2.1,74
1972,PRIVATE,43.7499873653,-79.2636073728,2.3,2.3,2.1,74
1974,TCHC,43.729506937,-79.440182427,1.1,2.6,2.1,74
1975,PRIVATE,43.773718226,-79.522486744,2.2,2.2,2.4,74
1987,SOCIAL HOUSING,43.662252242,-79.406937302,2.1,2.2,2.1,74
2008,TCHC,43.752199467,-79.543966801,2.3,2.3,2.1,74
1880,PRIVATE,43.6651686384,-79.3714234389,2.3,2.2,2.1,75
1917,PRIVATE,43.6396109365,-79.4394716965,2.1,2.3,2.2,75
1920,PRIVATE,43.67317576,-79.283928255,1.6,2.5,2,75
1923,PRIVATE,43.688928335,-79.412029113,2.3,2.4,2.1,75
1926,PRIVATE,43.659758114,-79.434864769,2.3,2.2,2.4,75
1928,PRIVATE,43.668322729,-79.381302256,1.9,2.5,2.1,75
1929,PRIVATE,43.665901023,-79.381806918,2.4,2.4,2.1,75
1930,PRIVATE,43.678673828,-79.438492917,2.5,2.2,2.3,75
1930,PRIVATE,43.6795294913,-79.4347109535,2.4,2.4,1.8,75
1941,TCHC,43.7014864975,-79.4251602874,2.7,2.2,2.3,75
1948,PRIVATE,43.6783605408,-79.3950701921,2.3,2.2,2.4,75
1950,PRIVATE,43.685195147,-79.445196294,2,2.6,1.9,75
1950,PRIVATE,43.7099657266,-79.4779872702,2.3,2.5,2.1,75
1950,PRIVATE,43.6932514595,-79.4827536797,2.1,2.1,2.3,75
1951,PRIVATE,43.723853962,-79.416722488,2.8,2.3,2.1,75
1952,PRIVATE,43.685064751,-79.444435827,1.3,2.5,2.1,75
1953,PRIVATE,43.72933702,-79.471517906,1.7,2.5,2.1,75
1954,PRIVATE,43.697269464,-79.4763543388,1.7,2.4,2.1,75
1955,PRIVATE,43.7025056164,-79.3120345151,2.7,2.3,2.3,75
1955,PRIVATE,43.724970274,-79.558026492,1.7,2.3,2.1,75
1955,PRIVATE,43.686640553,-79.3370117361,2.3,2.6,1.9,75
1956,PRIVATE,43.732489237,-79.434967025,1.6,2.4,2.1,75
1959,PRIVATE,43.6361517,-79.432279824,1.8,2.2,2.5,75
1959,PRIVATE,43.7010486833,-79.4499999014,1.1,2.3,2.2,75
1960,PRIVATE,43.696310244,-79.506587145,2.4,2.5,2,75
1960,PRIVATE,43.693721495,-79.303248784,2.3,2.4,2.1,75
1960,PRIVATE,43.7158403312,-79.4286561734,2.7,2.2,2.3,75
1960,PRIVATE,43.731056948,-79.463881566,1.9,2.5,2.1,75
1961,PRIVATE,43.7351335266,-79.2685742385,2.4,2.4,1.8,75
1965,PRIVATE,43.735849503,-79.484562864,1.7,2.5,2.1,75
1966,PRIVATE,43.695274406,-79.448258568,1.9,2.3,2.2,75
1969,TCHC,43.7624910264,-79.2104930971,2.2,2.5,2,75
1969,PRIVATE,43.7577107844,-79.4909188845,2.7,2.2,2.2,75
1970,PRIVATE,43.651369768,-79.401162282,2.3,2.4,2,75
1971,PRIVATE,43.704957417,-79.503637456,1.7,2.7,1.9,75
1971,PRIVATE,43.750094613,-79.516913628,2.7,2.2,2.2,75
1972,PRIVATE,43.7243235641,-79.5147486407,2.5,2.3,2.2,75
1972,PRIVATE,43.749810629,-79.543432658,2.4,2.3,2.3,75
1975,SOCIAL HOUSING,43.703141138,-79.347459151,2.4,2.3,2.1,75
